1.5	25.5	21.9
1.5	27	21
1.5	28.5	20.1
1.5	30	20.5
1.5	31.5	19.5
1.5	33	19.1
1.5	34.5	20.6
1.5	36	20.9
1.5	37.5	20.9
1.5	39	18.2
1.5	40.5	19.1
1.5	42	20.8
1.5	43.5	20.5
1.5	45	20
1.5	46.5	20.3
1.5	48	21.4
1.5	49.5	19.6
0	0	20.9
0	1.5	22.6
0	3	22.5
0	4.5	21.2
0	6	20.6
0	7.5	21
0	9	20.8
0	10.5	21.8
0	12	23
0	13.5	22.3
0	15	22.8
0	16.5	NA
0	18	29.6
0	19.5	24
0	21	21.8
0	22.5	22.6
0	24	21.2
0	25.5	21
0	27	20.1
0	28.5	19.9
0	30	19.9
0	31.5	19.2
0	33	22
0	34.5	22
0	36	22.4
0	37.5	20.7
0	39	21
0	40.5	21.6
0	42	22.4
0	43.5	21.7
0	45	21.4
0	46.5	21
0	48	21.2
0	49.5	20.2
